Spilhaus,U095,,1005,726,1,"Art, Antiques, Curios & Gifts"
AGFA Digital Foto Lab,L119,,756,414,0,"Audio/Electronic, PC, Cellphone & Photo"
Cell C,L083,,1448,370,0,"Audio/Electronic, PC, Cellphone & Photo"
Computer Mania,L019,,626,327,0,"Audio/Electronic, PC, Cellphone & Photo"
Dion Wired,L129/131,,504,368,0,"Audio/Electronic, PC, Cellphone & Photo"
Glocell,L059,,1562,261,0,"Audio/Electronic, PC, Cellphone & Photo"
Incredible Connection,L023/4,,722,346,0,"Audio/Electronic, PC, Cellphone & Photo"
Kodak Express,L123,,606,376,0,"Audio/Electronic, PC, Cellphone & Photo"
MTN,L073,,1588,338,0,"Audio/Electronic, PC, Cellphone & Photo"
Telkom Mobile,L075,,1612,367,0,"Audio/Electronic, PC, Cellphone & Photo"
V Cell Clinix,U032,,1147,515,1,"Audio/Electronic, PC, Cellphone & Photo"
Vodacom 4U,L131,,472,398,0,"Audio/Electronic, PC, Cellphone & Photo"
Vodacom Chatz Cellular,L068,,1672,299,0,"Audio/Electronic, PC, Cellphone & Photo"
Vodacom Datacall Cellular,L093,,1301,397,0,"Audio/Electronic, PC, Cellphone & Photo"
ABSA - Branch,L065,,1781,251,0,"Banks, Forex & Financial"
African Bank,L060,,1654,230,0,"Banks, Forex & Financial"
Bidvest Bank Rennies Foreign Exchange,L069,,1643,305,0,"Banks, Forex & Financial"
Capitec Bank,L053,,1416,328,0,"Banks, Forex & Financial"
FNB - Branch,L063,,1609,261,0,"Banks, Forex & Financial"
Nedbank - Branch,L061,,1707,206,0,"Banks, Forex & Financial"
Old Mutual Investments,L001,,420,379,0,"Banks, Forex & Financial"
Standard Bank - Branch,L062,,1771,206,0,"Banks, Forex & Financial"
Birthdays,U056,,1480,576,1,"Books, Cards, Gifts & Stationery"
CUM BOOKS,L07,,377,301,0,"Books, Cards, Gifts & Stationery"
Exclusive Books,L113,,866,400,0,"Books, Cards, Gifts & Stationery"
PNA,L025,,792,355,0,"Books, Cards, Gifts & Stationery"
Ackermans,U108,,610,627,1,Clothing
Baby Boom,L125,,645,366,0,Clothing
Burgundy Fly,U065,,1575,392,1,Clothing
Contempo,U110,,511,511,1,Clothing
Cotton On,U104,,801,676,1,Clothing
Cotton On Kids,U068/72,,1750,506,1,Clothing
Donna-Claire,U100,,880,685,1,Clothing
Exact!,U107,,691,645,1,Clothing
Factorie,U106,,743,656,1,Clothing
Foschini,U098,,948,680,1,Clothing
Hassu Hassey,U005,,647,460,1,Clothing
Identity,U086,,1435,673,1,Clothing
Jeep,U084,,1600,623,1,Clothing
John Craig,U067,,1658,470,1,Clothing
Lamiga,U122,,610,418,1,Clothing
Legit,U115B,,523,618,1,Clothing
Markham,U060,,1543,555,1,Clothing
me Mom and Dad,U096,,979,886,1,Clothing
Miladys,U020,,1000,607,1,Clothing
Mr Price Weekend,U080,,1673,627,1,Clothing
Pick n Pay Clothing,U116,,450,486,1,Clothing
Refinery,U078,,1744,596,1,Clothing
SODA Bloc,U054,,1398,542,1,Clothing
Sportscene,U040,,1245,609,1,Clothing
The Fix,U010,,772,579,1,Clothing
The Hub,U115,,393,524,1,Clothing
Truworths,U088,,1228,684,1,Clothing
Edgars,U082,,1521,644,1,Department Stores
Game FoodCo,L008,,362,270,0,Department Stores
Jet,U108,,457,587,1,Department Stores
Pep,U122/6,,619,381,1,Department Stores
Woolworths,U069,,1822,521,1,Department Stores
Classique Optical,L047,,1324,343,0,Eyewear & Optometrists
Sunglass Hut,U036,,1162,596,1,Eyewear & Optometrists
Torga Optical,L057,,1465,306,0,Eyewear & Optometrists
Vision Works Optometrists,L088,,1402,384,0,Eyewear & Optometrists
Elna Home Products,L021,,657,330,0,Fabric & Sewing
Anat,L039,,1147,366,0,Food
Boesmanland Biltong,U028,,1076,535,1,Food
Boost Juice Bar,L093a,,1275,402,0,Food
Bread Basket,L077,,1638,433,0,Food
Cape Town Fish Market,L105,,958,529,0,Food
Cappuccino's,L027 & L029,,866,364,0,Food
Curry Lounge,L134,,211,457,0,Food
Debonairs,L109,,936,454,0,Food
Game Liquor,L009,,400,251,0,Food
King Pie,U034,,1150,569,1,Food
London Pie Co.,L085,,1426,374,0,Food
Milky Lane,L037,,1103,363,0,Food
Mister Biltong,L035,,1076,361,0,Food
Mochachos Chicken Village,L030,,938,365,0,Food
Mugg & Bean,L095,,1242,400,0,Food
Panarottis,L099/101,,1128,422,0,Food
Pick n Pay Hypermarket,U014,Ent 1,951,426,1,Food
Pick n Pay Hypermarket,U014,Ent 2,1097,503,1,Food
Pick n Pay Hypermarket,U014,Ent 3,1342,495,1,Food
Pick n Pay Liquor,U052,,1378,517,1,Food
Sausage Saloon,L080,,1512,360,0,Food
Spur,L103,,1092,479,0,Food
Steers,L109,,946,464,0,Food
Subway,L031,,978,364,0,Food
Wimpy,L111,,923,408,0,Food
Bata,U121,,601,450,1,Footwear
Heel's Retail,U077,,1778,592,1,Footwear
Motion Footwear,U004,,653,433,1,Footwear
Rage,U115/16b,,907,532,1,Footwear
Shoe City,U063/064,,1584,424,1,Footwear
Side Step,U011,,838,546,1,Footwear
Skechers,U062,,1588,501,1,Footwear
Spitz,U019,,934,605,1,Footwear
Arlex Fragrances,U048,,1346,550,1,"Hair, Health & Beauty"
Barber Lou,L004,,418,302,0,"Hair, Health & Beauty"
Cabello Hair Boutique,L016,,604,203,0,"Hair, Health & Beauty"
Clicks Pharmacy,L015,,537,268,0,"Hair, Health & Beauty"
Dis-Chem Pharmacies,L079,,1551,366,0,"Hair, Health & Beauty"
House of AN Image Emporium,L135,,272,443,0,"Hair, Health & Beauty"
myGym,U115EF,,314,778,1,"Hair, Health & Beauty"
Perfect 10,U120,,589,488,1,"Hair, Health & Beauty"
Pick n Pay Pharmacy,U014,,853,475,1,"Hair, Health & Beauty"
Skin PhD,L076,,1654,393,0,"Hair, Health & Beauty"
Sorbet,L127,,572,380,0,"Hair, Health & Beauty"
Sorbet Drybar,L136,,365,413,0,"Hair, Health & Beauty"
The Body Shop,L014,,492,274,0,"Hair, Health & Beauty"
@Home,U007,,675,546,1,"Home, Decor, Interior & Furniture"
Boardmans,L058,,1517,285,0,"Home, Decor, Interior & Furniture"
Carrol Boyes,U094,,1015,776,1,"Home, Decor, Interior & Furniture"
Casa Carla,U119,,570,522,1,"Home, Decor, Interior & Furniture"
Coricraft,L117 & L121,,713,378,0,"Home, Decor, Interior & Furniture"
House & Home,U127,,389,479,1,"Home, Decor, Interior & Furniture"
Mattress Gallery,L133,,403,427,0,"Home, Decor, Interior & Furniture"
Sheet Street,L017,,590,304,0,"Home, Decor, Interior & Furniture"
Volpes The Linen Company,L089/90,,1348,379,0,"Home, Decor, Interior & Furniture"
American Swiss,U017,,886,584,1,Jewellery & Accessories
Galaxy & Co.,U102,,836,702,1,Jewellery & Accessories
Mat & May,U010b,,724,568,1,Jewellery & Accessories
NWJ Fine Jewellery,U012,,812,558,1,Jewellery & Accessories
Silver Image,U006,,652,488,1,Jewellery & Accessories
Smith's Manufacturing Jewellers,U070,,1688,506,1,Jewellery & Accessories
Sterns,U026,,1066,598,1,Jewellery & Accessories
Yadik Pearls,Kiosk,,35,61,0,Jewellery & Accessories
Alberto P,U016A,,888,550,1,Luggage & Leather
The Matador Luggage,L049,,1372,335,0,Luggage & Leather
BT Games,L041,,1257,353,0,"Movies, Music & Entertainment"
Computicket,U127,,417,460,1,"Movies, Music & Entertainment"
U092/093,(011) 452 1747 /,,32,32,0,"Movies, Music & Entertainment"
Jimmy Jungles,U115E,,493,791,1,"Movies, Music & Entertainment"
Musica,L097,,1190,400,0,"Movies, Music & Entertainment"
Rush Trampoline Park,L104,,978,540,0,"Movies, Music & Entertainment"
Ster-Kinekor,L033,,1032,350,0,"Movies, Music & Entertainment"
The Fun Company,L043,,1206,361,0,"Movies, Music & Entertainment"
Absolute Pets,U027,,1075,556,1,Pet Shops
3@1,L013,,468,264,0,Services
Dixon Adventure Centre,L0135,,1695,412,0,Services
SA Post Office,L066,,1753,275,0,Services
Telkom Direct,L011,,432,252,0,Services
Cartridge Zone,U050,,1338,531,1,Speciality
Party City,L05,,484,324,0,Speciality
Smokers Corner / JJ Cale,L081,,1478,364,0,Speciality
Verimark Emporium,U030,,1074,517,1,Speciality
Cape Union Mart,U076,,1816,606,1,"Sport, Outdoor, Goods & Gear"
Duesouth,U042,,1295,607,1,"Sport, Outdoor, Goods & Gear"
Mr Price Sport,U066,,1635,427,1,"Sport, Outdoor, Goods & Gear"
Totalsports,U038,,1197,607,1,"Sport, Outdoor, Goods & Gear"
Hamleys,L115,,806,396,0,"Toys, Education, Hobbies & Gifts"
Cruise About,L045,,1288,345,0,Travel & Estate Agencies
Flight Centre,L071,,1614,320,0,Travel & Estate Agencies
Pentravel,U033,,1146,540,1,Travel & Estate Agencies
Bathroom,,1,1486,510,1,Facilities
Bathroom,,2,741,451,1,Facilities
Bathroom,,3,1409,191,0,Facilities
Bathroom,,4,972,256,0,Facilities
Bathroom,,5,661,261,0,Facilities
